#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
23920,0.24,-0.24,1.70
23924,0.25,-0.25,1.74
23912,0.24,-0.24,1.65
23912,0.24,-0.24,1.65
23924,0.24,-0.24,1.68
23920,0.23,-0.23,1.63
23908,0.23,-0.23,1.63
23924,0.23,-0.23,1.64
23912,0.24,-0.24,1.67
23920,0.24,-0.24,1.66
23896,0.25,-0.25,1.78
23924,0.28,-0.28,1.95
23920,0.25,-0.25,1.72
23920,0.17,-0.17,1.22
23912,0.16,-0.16,1.13
23920,0.18,-0.18,1.25
23912,0.20,-0.20,1.42
23948,0.23,-0.23,1.63
23880,0.25,-0.25,1.74
23924,0.24,-0.24,1.66
23908,0.23,-0.23,1.63
23928,0.25,-0.25,1.74
23900,0.25,-0.25,1.76
23936,0.26,-0.26,1.83
23916,0.28,-0.28,1.93
23916,0.26,-0.26,1.83
23892,0.25,-0.25,1.75
23932,0.28,-0.28,1.96
23920,0.30,-0.30,2.11
23928,0.30,-0.30,2.07
23908,0.29,-0.29,2.01
23916,0.26,-0.26,1.85
23936,0.23,-0.23,1.63
23916,0.22,-0.22,1.55
23916,0.24,-0.24,1.68
23900,0.28,-0.28,1.96
23928,0.27,-0.27,1.91
23900,0.25,-0.25,1.75
23932,0.22,-0.22,1.56
23920,0.19,-0.19,1.34
23916,0.20,-0.20,1.43
23904,0.29,-0.29,2.00
23916,0.32,-0.32,2.24
23940,0.27,-0.27,1.92
23892,0.25,-0.25,1.72
23924,0.25,-0.25,1.72
23920,0.26,-0.26,1.81
23904,0.29,-0.29,2.05
23912,0.33,-0.33,2.29
23928,0.31,-0.31,2.18
23904,0.28,-0.28,1.99
23936,0.28,-0.28,1.93
23904,0.26,-0.26,1.82
23924,0.26,-0.26,1.84
23892,0.30,-0.30,2.10
23956,0.30,-0.30,2.12
23912,0.27,-0.27,1.89
23888,0.25,-0.25,1.75
23932,0.25,-0.25,1.77
23932,0.25,-0.25,1.74
23900,0.25,-0.25,1.74
23912,0.26,-0.26,1.85
23920,0.25,-0.25,1.74
23916,0.23,-0.23,1.58
23936,0.23,-0.23,1.60
23912,0.23,-0.23,1.64
23912,0.25,-0.25,1.77
23896,0.28,-0.28,1.93
23948,0.28,-0.28,1.97
23896,0.27,-0.27,1.86
23932,0.24,-0.24,1.67
23908,0.24,-0.24,1.65
23924,0.25,-0.25,1.72
23904,0.26,-0.26,1.80
23920,0.26,-0.26,1.80
23892,0.24,-0.24,1.70
23936,0.23,-0.23,1.63
23916,0.23,-0.23,1.63
23944,0.23,-0.23,1.59
23884,0.23,-0.23,1.61
23944,0.22,-0.22,1.57
23912,0.21,-0.21,1.44
23928,0.21,-0.21,1.44
23908,0.22,-0.22,1.56
23908,0.24,-0.24,1.67
23916,0.23,-0.23,1.59
23928,0.22,-0.22,1.53
23888,0.23,-0.23,1.62
23948,0.24,-0.24,1.66
23908,0.23,-0.23,1.59
23908,0.23,-0.23,1.59
23904,0.25,-0.25,1.73
23944,0.26,-0.26,1.82
23904,0.24,-0.24,1.67
23892,0.22,-0.22,1.54
23944,0.23,-0.23,1.60
23912,0.25,-0.25,1.76
23928,0.25,-0.25,1.78
23920,0.23,-0.23,1.64
23884,0.22,-0.22,1.55
23936,0.21,-0.21,1.44
23932,0.21,-0.21,1.48
23896,0.23,-0.23,1.62
23936,0.25,-0.25,1.75
23916,0.25,-0.25,1.74
23912,0.23,-0.23,1.58
23912,0.22,-0.22,1.54
23908,0.24,-0.24,1.66
23912,0.26,-0.26,1.83
23920,0.28,-0.28,1.94
23932,0.32,-0.32,2.21
23912,0.41,-0.41,2.90
23900,0.54,-0.54,3.75
23900,0.71,-0.71,5.00
23948,0.83,-0.83,5.78
23900,0.87,-0.87,6.11
23940,0.86,-0.86,6.04
23912,0.84,-0.84,5.90
23920,0.78,-0.78,5.47
23924,0.73,-0.73,5.11
23920,0.67,-0.67,4.70
23912,0.57,-0.57,4.00
23904,0.46,-0.46,3.24
23872,0.37,-0.37,2.60
23968,0.31,-0.31,2.15
23916,0.30,-0.30,2.09
23912,0.31,-0.31,2.14
23896,0.30,-0.30,2.09
23916,0.26,-0.26,1.80
23924,0.20,-0.20,1.43
23908,0.13,-0.13,0.89
23952,0.02,-0.02,0.17
23876,-0.06,0.06,-0.45
