#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
23936,0.24,-0.24,1.21
23912,0.28,-0.28,1.39
23912,0.34,-0.34,1.71
23920,0.43,-0.43,2.16
23920,0.54,-0.54,2.71
23916,0.67,-0.67,3.34
23904,0.80,-0.80,4.01
23932,0.91,-0.91,4.57
23908,1.01,-1.01,5.04
23920,1.05,-1.05,5.25
23916,1.05,-1.05,5.26
23920,1.06,-1.06,5.29
23908,1.06,-1.06,5.32
23912,1.10,-1.10,5.48
23896,1.15,-1.15,5.77
23940,1.23,-1.23,6.13
23916,1.29,-1.29,6.47
23912,1.38,-1.38,6.89
23932,1.42,-1.42,7.10
23892,1.43,-1.43,7.17
23888,1.44,-1.44,7.18
23956,1.43,-1.43,7.17
23936,1.43,-1.43,7.17
23904,1.42,-1.42,7.12
23912,1.43,-1.43,7.16
23916,1.43,-1.43,7.15
23904,1.44,-1.44,7.21
23916,1.48,-1.48,7.42
23916,1.53,-1.53,7.65
23924,1.58,-1.58,7.89
23932,1.60,-1.60,7.98
23916,1.61,-1.61,8.07
23908,1.63,-1.63,8.15
23908,1.61,-1.61,8.06
23920,1.59,-1.59,7.94
23920,1.58,-1.58,7.89
23888,1.57,-1.57,7.84
23944,1.58,-1.58,7.88
23896,1.59,-1.59,7.93
23936,1.58,-1.58,7.91
23928,1.57,-1.57,7.84
23908,1.56,-1.56,7.80
23900,1.60,-1.60,8.00
23920,1.66,-1.66,8.31
3920,1.71,-1.71,8.57
23904,1.74,-1.74,8.68
23936,1.85,-1.85,9.23
23916,2.00,-2.00,10.02
24956,2.05,-2.05,10.27
24956,2.13,-2.13,10.63
24968,2.02,-2.02,10.10
24952,1.95,-1.95,9.73
23908,1.81,-1.81,9.06
23904,1.64,-1.64,8.18
23944,1.44,-1.44,7.22
23904,1.22,-1.22,6.10
23920,0.98,-0.98,4.91
23912,0.78,-0.78,3.88
23904,0.57,-0.57,2.86
