#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
23916,0.34,-0.34,3.36
23916,0.32,-0.32,3.20
23908,0.25,-0.25,2.54
23912,0.13,-0.13,1.32
23924,0.04,-0.04,0.35
23924,-0.06,0.06,-0.59
24960,-0.11,0.11,-1.07
24932,-0.10,0.10,-1.02
24968,-0.04,0.04,-0.41
24956,0.05,-0.05,0.46
23916,0.15,-0.15,1.49
23940,0.26,-0.26,2.63
23896,0.38,-0.38,3.76
23908,0.47,-0.47,4.71
23916,0.46,-0.46,4.64
23928,0.41,-0.41,4.08
23912,0.26,-0.26,2.62
23920,0.09,-0.09,0.91
23916,-0.02,0.02,-0.20
24956,-0.09,0.09,-0.91
24956,-0.12,0.12,-1.23
24968,-0.07,0.07,-0.73
24924,-0.03,0.03,-0.34
24972,-0.03,0.03,-0.29
24980,-0.11,0.11,-1.09
24936,-0.22,0.22,-2.21
24976,-0.34,0.34,-3.36
24960,-0.41,0.41,-4.10
24956,-0.43,0.43,-4.27
24952,-0.43,0.43,-4.29
24968,-0.40,0.40,-3.99
24952,-0.36,0.36,-3.63
24964,-0.30,0.30,-2.98
24948,-0.20,0.20,-2.00
24956,-0.14,0.14,-1.39
24940,-0.12,0.12,-1.21
24972,-0.16,0.16,-1.59
24920,-0.19,0.19,-1.91
25000,-0.23,0.23,-2.30
24952,-0.27,0.27,-2.73
24964,-0.31,0.31,-3.14
24944,-0.39,0.39,-3.94
24940,-0.43,0.43,-4.34
24976,-0.38,0.38,-3.83
24936,-0.33,0.33,-3.29
24972,-0.30,0.30,-3.04
24964,-0.33,0.33,-3.31
24940,-0.38,0.38,-3.77
24960,-0.43,0.43,-4.31
24964,-0.45,0.45,-4.47
24940,-0.47,0.47,-4.73
24964,-0.50,0.50,-4.97
24968,-0.49,0.49,-4.94
24936,-0.45,0.45,-4.52
24976,-0.39,0.39,-3.95
24956,-0.38,0.38,-3.84
24940,-0.38,0.38,-3.85
24956,-0.38,0.38,-3.85
.77
24968,-0.33,0.33,-3.32
24952,-0.31,0.31,-3.12
24960,-0.33,0.33,-3.34
